tag,n,nnz,est_aa_ub,est_aat_ub,task,C_nnz,ms,status
Shen__shermanACb,18510,145149,945851,183940033,AA,400519,1.0889,ok
Shen__shermanACb,18510,145149,945851,183940033,AAt,146608918,28.7851,ok
Shyy__shyy41,4720,20042,92594,92792,AA,47215,0.3975,ok
Shyy__shyy41,4720,20042,92594,92792,AAt,53376,0.3956,ok
TOKAMAK__utm1700b,1700,21509,291518,347409,AA,74169,0.3638,ok
TOKAMAK__utm1700b,1700,21509,291518,347409,AAt,90936,0.3736,ok
TSOPF__TSOPF_RS_b39_c19,38098,684206,4831760,3620638008,AA,,,skip_oom
TSOPF__TSOPF_RS_b39_c19,38098,684206,4831760,3620638008,AAt,,,skip_oom
VDOL__lowThrust_7,17378,211561,93895061,93895061,AA,46358098,13.6844,ok
VDOL__lowThrust_7,17378,211561,93895061,93895061,AAt,46358098,16.6797,ok
VLSI__radiation,223104,7637688,312719514,312719514,AA,,,skip_oom
VLSI__radiation,223104,7637688,312719514,312719514,AAt,,,skip_oom
VanVelzen__Zd_Jac3,22835,1916152,159016954,1560261076,AA,,,skip_oom
VanVelzen__Zd_Jac3,22835,1916152,159016954,1560261076,AAt,,,skip_oom
Wang__swang1,3169,20841,139671,139671,AA,55439,165.1501,ok
Wang__swang1,3169,20841,139671,139671,AAt,55439,1.1593,ok
